#name;CR;MR;alignment;size;type;subtypes;groups;environment;climate;plane;variant;intervals;source
##Bestiaries

#Bestiary 1 (10.2009)
olethrodaemon;20;;8;7;9;9,12,20;;0,13;;19;;1-2,3-5|apocalypse;B2
omox;12;;9;4;9;2,8,9,12,22;;0,1,13;;18;;1,2-6|clot;B2
oread;0;;5;4;9;13;;0;;0;;1-2,3-5|team;B2
paracletus|-;2;;5;3;9;12,14;32;0,11,13;;13,14,15,16,17,18,19,20,21;;1-2,3-12|commune;B2
parasaurolophus;4;;5;6;1;;27,28;4,8;3;0;;1-2,3-12|herd;B2
pech;3;;5;3;4;4;;0,13;;8;;1-2,3-4|gang,5-10|pack;B2
peryton;4;;9;4;6;;;0,11;;0;;1-2,3-9|flock;B2
petitioner;1;;0;4;9;12;;0;;13,14,15,16,17,18,19,20,21;;1-2,3-12|group,13-100|army;B2
phycomid;4;;5;3;10;;;13;;0;;1,2-8|infestation;B2
piscodaemon;10;;8;4;9;2,9,12,20;;0,1,13;;19;;1-2,3-5|knot;B2
pleroma;20;;5;5;9;12,14;;0,11,13;;13,14,15,16,17,18,19,20,21;;1;B2
poisonous magma ooze;8;;5;5;8;6;;13,17;;0;magma ooze;1;B2
polar hippocampus|polar hippocampi;2;;5;5;6;2;;7;1;0;advanced [hippocampus];1-2,3-16|school;B2
poltergeist;2;;7;4;11;45;;0,13;;0;;1,2-7|haunting;B2
pugwampi;0;;8;2;4;;37;5;3;0;;1-2,3-12|mob;B2
purrodaemon;18;;8;5;9;9,12,20;;0,11,13;;19;;1,2-5|patrol,6-12|unit;B2
quickling;3;;9;3;4;;;4;2;0;;1,2-5|gang;B2
quickwood;8;;5;6;10;;;4;2;0;;1;B2
ram;1;;5;4;1;;27,39;6;2;0;;1-2,3-30|herd;B2
rast;5;;5;4;9;6,12;;0,11;;9;;1-2,3-6|cluster,7-15|pack;B2
redcap;6;;8;3;4;;;4,6,13;2;0;;1-2,3-12|gang;B2
reefclaw;1;;6;3;0;2;;7;;0;;1,2-5|school,6-11|harem;B2
revenant;6;;7;4;11;;;0,13;;0;;1;B2
rock troll;6;;9;5;5;4,41;48;13;;0;;1,2-5|gang;B2
rune giant;17;;7;7;5;41;;6;1;0;;1-2,3-6|patrol,7-12|squad;B2
saltwater merrow;6;;8;6;5;2,41;;7;2;0;;1-2,3-4|gang,5-16|family;B2
sandman;3;;8;4;9;4,5,12;;0,13;;8;;1,2-4|gang,5-10|shoal;B2
sard;19;;9;8;10;;;4;;0;;1;B2
sawback cockroach;9;;5;7;12;;;0,13;;0;giant cockroach;1,2-8|intrusion;B2
scarecrow;4;;5;4;2;;;0;;0;;1-2,3-6|gang;B2
sceaduinar;7;;8;4;9;12;;0,11;;11;;1,2-11|squad;B2
scylla;16;;9;6;0;2;;7;;0;;1;B2
sea drake;6;;8;5;3;2;29;2;;0;;1-2,3-12|rampage;B2
serpentfolk|-;4;;8;4;7;;;0,13;;0;;1-2,3-12|cult;B2
seugathi|-;6;;9;5;0;;;13;;0;;1-2,3-8|expedition;B2
shantak;8;;9;6;6;;;6;1;0;;1-2,3-12|flock;B2
shemhazian;16;;9;7;9;8,9,12,22;;0,11,13;;18;;1;B2
shield archon;10;;1;5;9;10,11,12,17;;0,11,13;;14;;1-2,3-5|squad;B2
shining child|-ren;12;;9;4;9;9,12;;0,11;;;;1,2-9|visitation,11-20|incursion;B2
shoggti;7;;9;5;9;8,9,12,32;;0,13;;18;;1-2;B2
silvanshee;2;;2;2;9;10,12,15;32;0,11,13;;15;;1-2,3-10|clowder;B2
sinspawn;2;;8;4;0;;;10;;0;;1-2,3-8|cult;B2
siren;5;;6;4;6;;;5;2,3;0;;1,2-7|flight;B2
skaveling;5;;9;5;11;;;13;;0;;1,2-8|colony;B2
skulk;1;;9;4;5;;;0,13;;0;;1-2,3-8|band,9-16|tribe;B2
slicer beetle;4;;5;5;12;;;4;2;0;;1,2-5|cluster;B2
slime mold;2;;5;5;8;;;4;2;0;;1,2-5|infestation;B2
slithering tracker;4;;5;3;8;;;10,13;;0;;1-2;B2
slurk;2;;5;4;6;;;12,13;2;0;;1-2,3-8|pack;B2
small ice elemental;1;;5;3;9;1,3,5,7,12;32;0,1;;10;;1-2,3-8|gang;B2
small lightning elemental;1;;5;3;9;1,5,12;32;0,11;;7;;1-2,3-8|gang;B2
small magma elemental;1;;5;3;9;4,5,6,12;32;0,13;;9;;1-2,3-8|gang;B2
small mud elemental;1;;5;3;9;4,5,7,12;32;0,1,13;;8;;1-2,3-8|gang;B2
snapping turtle;-1;;5;2;1;;31;9,12;2,3;0;;1,2-5|band;B2
soul eater;7;;8;4;9;9,12;;0,11,13;;19;;1;B2
soulbound doll;2;;2,4,5,6,8;2;2;;;0,13;;0;;1-2,3-12|family;B2
spitting cockroach;6;;5;6;12;;;0,13;;0;giant cockroach;1,2-10|intrusion;B2
spriggan;3;;9;3,5;5;;;4,5;;0;;1-2,3-12|mob;B2
star archon;19;;1;5;9;10,11,12,17;;0,11,13;;14;;1-2;B2
stingray;0;;5;4;1;2;27;7;3;0;;1-2,3-12|flight;B2
sylph;0;;5;4;9;13;;0;;0;;1-2,3-6|gang;B2
taiga giant;12;;6;6;5;41;;4,6;1;0;;1,2-7|warband;B2
tendriculos;6;;5;6;10;;;4;2,3;0;;1-2,3-6|grove;B2
tenebrous worm;8;;5;4;9;12;;0,13;;1;;1-2,3-6|swarm;B2
tentamort;4;;5;4;0;;;12,13;;0;;1-2,3-6|brood;B2
thanadaemon;13;;8;5;9;9,12,20;;0,13;;19;;1-2,3-11|council;B2
thanatotic titan;22;;9;8;9;8,9,12;18;0;;18;;1-2,3-6|war band;B2
theletos|-;7;;5;4;9;12,14;;0,11,13;;13,14,15,16,17,18,19,20,21;;1-2,3-12|collective;B2
thoqqua;2;;5;4;9;4,5,6,12;;0,13;;9;;1-2;B2
thrasfyr;17;;9;6;6;6;;0;;0;;1;B2
thulgant;18;;9;5;9;8,9,12,32;;0,11,13;;18;;1-2,3-4|patrol;B2
thunderbird;11;;5;7;6;;;5,6,11;;0;;1;B2
tick swarm;9;;5;0;12;52;;4;2;0;;1-2,3-6|colony;B2
titan centipede;9;;5;8;12;;;4,13;2,3;0;;1-2,3-6|colony;B2
totenmaske;7;;8;4;11;50;;0,13;;0;;1-2;B2
triton;2;;2;4;9;7,13;;7;;0;;1,2-5|company,6-11|squad;B2
twigjack;3;;9;2;4;;;4;2;0;;1-2,3-8|gang;B2
tylosaurus;8;;5;7;1;;27,28;7;3;0;;1-2,3-6|school;B2
undine;0;;5;4;9;13;;0;;0;;1-2,3-5|gang;B2
urdefhan;3;;8;4;9;13;;0,13;;19;;1-2,3-12|gang;B2
vampire jellyfish;14;;5;7;12;2;;7;;0;giant jellyfish;1,2-5|pack,6-12|bloom;B2
vampiric mist;3;;8;4;0;1,7;;12,13;2,3;0;;1-2,3-6|gang;B2
vemerak;14;;9;6;0;;;13;;0;;1;B2
very old brine dragon;15;;4;6;3;7,12;26;0,1;;10;brine dragon\ancient brine dragon;1;B2
very old cloud dragon;17;;6;7;3;1,12;26;0,11;;7;cloud dragon\ancient cloud dragon;1;B2
very old crystal dragon;14;;3;6;3;4,12;26;0,13;;8;crystal dragon\ancient crystal dragon;1;B2
very old magma dragon;16;;6;6;3;6,12;26;6,13;;9;magma dragon\ancient magma dragon;1;B2
very old umbral dragon;18;;9;7;3;12;26;0,11,13;;0,1,2,3,11,18,19,20;umbral dragon\ancient umbral dragon;1;B2
very young brine dragon;5;;4;3;3;7,12;26;0,1;;10;brine dragon\young brine dragon;1;B2
very young cloud dragon;7;;6;4;3;1,12;26;0,11;;7;cloud dragon\young cloud dragon;1;B2
very young crystal dragon;4;;3;3;3;4,12;26;0,13;;8;crystal dragon\young crystal dragon;1;B2
very young magma dragon;6;;6;3;3;6,12;26;6,13;;9;magma dragon\young magma dragon;1;B2
very young umbral dragon;8;;9;4;3;12;26;0,11,13;;0,1,2,3,11,18,19,20;umbral dragon\young umbral dragon;1;B2
vexgit;1;;7;2;4;;37;13,14;;0;;1-2,3-12|mob;B2
viper vine;13;;5;5;10;;;4,12;2,3;0;;1;B2
voidworm;2;;6;2;9;8,12,30,50;32;0,11;;17;;1-2,3-18|school;B2
vrolikai;19;;9;5;9;8,9,12,22;;0,11,13;;18;;1;B2
vulpinal;6;;2;3;9;10,12,15;;0,13;;15;;1-2,3-12|team;B2
water orm;10;;5;6;6;2;;9;;0;;1;B2
wendigo;17;;9;5;9;3,13;;0;1;0;;1;B2
werebear\werebear (human form);4;;1;4;5;50;42;4;;0;;1-2,3-6|family;B2
wereboar\wereboar (human form);2;;6;4;5;50;42;4,8;;0;;1-2,3-8|brood;B2
weretiger\weretiger (human form);4;;8;4;5;50;42;8,12;;0;;1-2;B2
whale;10;;5;7;1;;;7;;0;;1-2,3-16|pod;B2
winged chupacabra;3;;5;3;6;;;5,8,11;3;0;chupacabra;1-2,3-7|gang;B2
winterwight;17;;9;4;11;3;;0,13;1;0;;1-2,3-6|incursion;B2
witchfire;9;;9;4;11;45;;4,12;;0;;1,3|coven;B2
witchwyrd;6;;4;4;7;;;0;;0;;1;B2
wood giant;6;;3;5;5;41;;4;2;0;;1,2-4|gang;B2
worm that walks;14;;8;4;12;;;0,13;;0;;1;B2
wyrm black dragon ravener;19;;9;6;11;7;;12;3;0;wyrm black dragon\ancient black dragon;1;B2
wyrm blue dragon ravener;21;;7;7;11;4;;3;3;0;wyrm blue dragon\ancient blue dragon;1;B2
wyrm brine dragon;17;;4;6;3;7,12;26;0,1;;10;brine dragon\ancient brine dragon;1;B2
wyrm cloud dragon;19;;6;7;3;1,12;26;0,11;;7;cloud dragon\ancient cloud dragon;1;B2
wyrm crystal dragon;16;;3;6;3;4,12;26;0,13;;8;crystal dragon\ancient crystal dragon;1;B2
wyrm green dragon ravener;20;;7;7;11;1;;4;2;0;wyrm green dragon\ancient green dragon;1;B2
wyrm magma dragon;18;;6;6;3;6,12;26;6,13;;9;magma dragon\ancient magma dragon;1;B2
wyrm red dragon ravener\red wyrm ravener;22;;9;7;11;6;;6;3;0;;1;B2
wyrm umbral dragon;20;;9;7;3;12;26;0,11,13;;0,1,2,3,11,18,19,20;umbral dragon\ancient umbral dragon;1;B2
wyrm umbral dragon ravener;22;;9;7;11;12;;0,11,13;;0,1,2,3,11,18,19,20;wyrm umbral dragon\ancient umbral dragon;1;B2
wyrm white dragon ravener;18;;9;6;11;3;;6;1;0;wyrm white dragon\ancient white dragon;1;B2
wyrmling brine dragon;3;;4;2;3;7,12;26;0,1;;10;brine dragon\young brine dragon;1;B2
wyrmling cloud dragon;5;;6;3;3;1,12;26;0,11;;7;cloud dragon\young cloud dragon;1;B2
wyrmling crystal dragon;2;;3;2;3;4,12;26;0,13;;8;crystal dragon\young crystal dragon;1;B2
wyrmling magma dragon;4;;6;2;3;6,12;26;6,13;;9;magma dragon\young magma dragon;1;B2
wyrmling umbral dragon;6;;9;3;3;12;26;0,11,13;;0,1,2,3,11,18,19,20;umbral dragon\young umbral dragon;1;B2
xacarba;15;;9;7;9;8,9,12;;0,13;;18;;1;B2
xtabay;0;;5;3;10;;;0;;0;;1-2,3-5|copse,6-12|garden;B2
yellow terror solifugid;8;;5;5;12;;;3;3;0;giant solifugid;1-2,3-6|colony;B2
young adult brine dragon;9;;4;5;3;7,12;26;0,1;;10;brine dragon\adult brine dragon;1;B2
young adult cloud dragon;11;;6;6;3;1,12;26;0,11;;7;cloud dragon\adult cloud dragon;1;B2
young adult crystal dragon;8;;3;5;3;4,12;26;0,13;;8;crystal dragon\adult crystal dragon;1;B2
young adult magma dragon;10;;6;5;3;6,12;26;6,13;;9;magma dragon\adult magma dragon;1;B2
young adult umbral dragon;12;;9;6;3;12;26;0,11,13;;0,1,2,3,11,18,19,20;umbral dragon\adult umbral dragon;1;B2
young brine dragon;7;;4;4;3;7,12;26;0,1;;10;;1;B2
young cloud dragon;9;;6;5;3;1,12;26;0,11;;7;;1;B2
young crystal dragon;6;;3;4;3;4,12;26;0,13;;8;;1;B2
young magma dragon;8;;6;4;3;6,12;26;6,13;;9;;1;B2
young umbral dragon;10;;9;5;3;12;26;0,11,13;;0,1,2,3,11,18,19,20;;1;B2
yrthak;9;;5;6;6;;;3,5,6,11;2;0;;1-2,3-6|clutch;B2
zelekhut;9;;4;5;9;11,12,25;;0,11,13,15;;;;1;B2
a band of 1d10+11 [tritons\triton] plus 2d8 [dolphins\dolphin];2,9;;2,5;4;1,9;7,13;;7;;0;;;B2
a band of 1d8+3 [quicklings\quickling] plus 1 advanced quickling leader;4,5;;9;3;4;;;4;2;0;quickling;;B2
a colony of 2d8+2 [giant bees\giant bee] and 1 [giant queen bee];5,4;;5;4,5;12;;;8;2,3;0;;;B2
a cortege of 1d4 [handmaiden devil\handmaiden devil (gylou)] and 2d10 [erinyes];14,4;;7;4;9;9,11,12,23;;0,11,13;;20;;;B2
a court of 1 [vampire] and 1d6+2 [dhampirs\dhampir];9,0;;9;4;5,11;;49;0,13;;0;;;B2
a gang of 1 [dark stalker] and 1d4+1 [dark slayers\dark slayer];4,3;;6,9;3,4;5;40;;13;;0;;;B2
a hunting party of 1d6+4 [wood giants\wood giant] plus 1d4 [dire wolves\dire wolf];6,6;;3,5;5;1,5;41;;4;2;0;;;B2
a retinue of 1 [handmaiden devil\handmaiden devil (gylou)] and 2d4 [erinyes];14,1;;7;4;9;9,11,12,23;;0,11,13;;20;;;B2
a tribe of 1d6+6 [monkey swarms\monkey swarm] plus 1d4 [gorillas\gorilla];2,7;;5;2,5;1;52;;4;3;0;;;B2
a tribunal of 1 [pleroma], 3 [akhanas\akhana], and 1d4+1 [theletos];20,1;;5;4,5;9;12,14;;0,11,13;;13,14,15,16,17,18,19,20,21;;;B2
a troupe of 1 [nereid] plus 1 [giant moray eel];10,0;;5,6;4,5;1,4;2,7;;7;;0;;;B2
a troupe of 1 [nereid] plus 1 [giant octopus];10,1;;5,6;4,5;1,4;2,7;;7;;0;;;B2
a troupe of 1 [nereid] plus 1 [orca];10,0;;5,6;4,6;1,4;7;;7;;0;;;B2
a troupe of 1 [nereid] plus 1 [giant squid];10,1;;5,6;4,6;1,4;2,7;;7;;0;;;B2
a troupe of 1d4+2 [werebears\werebear (human form)] plus 1d4 black bears;4,5;;1,5;4;1,5;50;42;4;;0;young [grizzly bear];;B2
a troupe of 1d4+2 [werebears\werebear (human form)] plus 1d4 [grizzly bears\grizzly bear];4,6;;1,5;4,5;1,5;50;42;4;;0;;;B2
a troupe of 1d6+2 [wereboars\wereboar (human form)] plus 1d4 [boars\boar];2,6;;5,6;4;1,5;50;42;4,8;;0;;;B2
a warband of 1d6+10 [grindylows\grindylow] with 1d2 [octopus] minions;1,6;;5,9;3;0,1;2;;7;1,2;0;;;B2

#Bestiary 3 (12.2011)
adaro;3;;8;4;7;2;;7;3;0;;1,2-6|hunting party,7-12|tribe;B3
adherer;3;;7;4;7;;;0,13;2;0;;1,2-5|gang,6-12|nest;B3
adhukait;7;;7;4;9;9,11,12,18;;0,13;;20;;1-2,3-12|band;B3
adlet;10;;6;4;5;3;;5,6,8;1;0;;1-2;B3
adult forest dragon;14;;9;6;3;4;22;4;;0;;1;B3
adult sea dragon;12;;3;6;3;7;22;7;;0;;1;B3
adult sky dragon;13;;1;6;3;1;22;6;2,3;0;;1;B3
adult sovereign dragon;15;;5;6;3;;22;6;;0;;1;B3
adult underworld dragon;11;;7;5;3;6;22;13;;0;;1;B3
aghash;4;;8;4;9;9,12,24;;0,13;;19;;1;B3
aghasura;11;;7;6;9;9,11,12,18;;0,1,13;;20;;1,2-9|troop;B3
ahuizotl;6;;8;5;6;2;;9,12;3;0;;1;B3
akhlut;13;;5;6;6;3,50;;7,8,9;1;0;;1;B3
akvan;20;;8;7;9;9,12,24;;0,11,13;;19;;1;B3
allip;3;;9;4;11;45;;0,13;;0;;1-2,3-6|haunt;B3
alraune;13;;8;5;10;;;4;2;0;;1;B3
ancient forest dragon;19;;9;7;3;4;22;4;;0;;1;B3
ancient forest dragon ravener;21;;11;7;3;4;;4;;0;ancient forest dragon;1;B3
ancient sea dragon;17;;3;7;3;7;22;7;;0;;1;B3
ancient sky dragon;18;;1;7;3;1;22;6;2,3;0;;1;B3
ancient sovereign dragon;20;;5;7;3;;22;6;;0;;1;B3
ancient underworld dragon;16;;7;6;3;6;22;13;;0;;1;B3
ancient underworld dragon ravener;18;;7;6;11;6;;13;;0;ancient underworld dragon;1;B3
androsphinx;9;;3;5;6;;46;3,5;3;0;;1;B3
annis hag;6;;9;5;7;;38;12;1;0;;1,3|coven;B3
antelope;0;;5;3;1;;27,39;8;2,3;0;;1-2,3-50|herd;B3
archelon;5;;5;6;1;;27,44;2,7;2,3;0;;1,2-6|bale;B3
ascomoid;5;;5;5;10;;;13;;0;;1,2-8|cluster;B3
ash giant;11;;6;5;5;41;;3,5,8;;0;;1,2-5|gang,6-9|band;B3
asurendra;20;;7;6;9;9,11,12,18;;0,1,11,13;;20;;1-2;B3
atomie;1;;6;1;4;;;0,11;2;0;;1-2,3-6|gang,7-14|band;B3
augur;2;;7;2;9;9,11,12,27;32;0,11,13;;1;;1-2,3-5|pack,6-8|squad;B3
awakened demilich;16;;8;2;11;;;0,13;;0;demilich;1;B3
axe beak;2;;5;5;1;;27;8;2;0;;1-2,3-6|flock;B3
azruverda;13;;3;6;0;;;13;;0;;1-2,3-7|brood;B3
baku;8;;5;4;6;;;0,11,13;;0;;1;B3
baluchitherium;8;;5;6;1;;27,44;4;3;0;;1-2,3-8|herd;B3
bandersnatch;17;;5;7;6;;;4;;0;;1;B3
baregara;12;;9;5;9;8,9,12;;4;3;18;;1-2,3-5|troop;B3
basilosaurus;12;;5;7;1;;27,44;7;;0;;1-2,3-10|pod;B3
baykok;9;;8;4;11;;;0,11,13;;0;;1,2-5|gang,6-12|flight;B3
berbalang;6;;9;4;11;;;0,11;;0;;1,2-8|pack;B3
bhuta;11;;8;4;11;45;;2,3,4,5,6,8,12,16;;0;;1;B3
bog nixie;3;;8;3;4;2;;1;2;0;advanced nixie;2-4|gang,6-11|band,20-80|tribe;B3
bogeyman;10;;8;4;4;;;0;;0;;1;B3
bone golem;8;;5;5;2;;36;0,13;;0;;1,2-4|gang;B3
bone golem shield guardian;10;;5;5;2;;36;0,13;;0;bone golem;1-2;B3
brain ooze;7;;8;2;8;;;10,13;;0;;1-2,3-6|flight,7-12|colony;B3
brass golem;14;;5;6;2;;36;0,13;;0;;1,2-4|watch;B3
brass golem shield guardian;16;;5;6;2;;36;0,13;;0;brass golem;1-2;B3
cairn linnorm;18;;9;7;3;;41;5;1;0;;1;B3
cannon golem;15;;5;5;2;;36;0,13;;0;;1-2;B3
cannon golem shield guardian;17;;5;5;2;;36;0,13;;0;cannon golem;1-2;B3
carbuncle;1;;5;2;6;;32;4,12;;0;;1,2-8|group;B3
carnivorous crystal;11;;5;4;8;4,12;;0,13;;8;;1,2-4|colony,5-10|formation;B3
caryatid column;3;;5;4;2;;;0,13;;0;;1-2,3-11|colonnade;B3
catfolk|-;0;;2;4;5;;;4,8,14;2,3;0;;1-2;B3
caulborn|-;7;;5;4;9;12;;0,13;;;;1-2,3-12|colony;B3
cave giant;6;;9;5;5;41;;13;;0;;1,2-5|gang;B3
cecaelia;5;;6;4;7;2;;7;3;0;;1,2-7|hunting party;B3
ceratioidi;3;;5;4;7;2;;7;;0;;1-2,3-20|clan;B3
cerberi;6;;7;4;9;9,11,12;;0,11;;20;;1-2,3-9|pack;B3
cerebric fungus;3;;5;4;10;;;0,13;;0;;1-2,3-12|colony;B3
clockwork goliath;19;;5;7;2;38;;0;;0;;1-2,3-6|siege;B3
clockwork leviathan;12;;5;6;2;38;;0,1;;0;;1,2-4|pod;B3
clockwork servant;2;;5;4;2;38;;0,13;;0;;1,2-4|team,5-10|squadron;B3
clockwork soldier;6;;5;4;2;38;;0,13;;0;;1-2,3-8|troop;B3
clockwork spy;0;;5;2;2;38;;0,11,13;;0;;1;B3
cold rider;8;;9;4;4;3;;0;1;0;;1-2,3-12|cavalry;B3
coloxus;12;;9;4;9;8,9,12,22;;14;;18;;1-2,3-8|swarm;B3
confounding bandersnatch;18;;5;7;6;;;4;;0;bandersnatch;1;B3
contract devil/phistophilus;10;;7;4;9;9,11,12,23;;0,13;;20;;1,2-12|court;B3
criosphinx;7;;5;5;6;;46;3,5;3;0;;1;B3
crucidaemon;15;;8;4;9;9,12,20;;0,13;;19;;1-2,3-6|inquisition;B3
dandasuka;5;;7;3;9;13,33,50;;0,13;;0;;1-2,3-10|murder;B3
deadfall scorpion;8;;5;6;12;;;4;2;0;;1,2-5|nest;B3
death's head jellyfish\Death%u2019s Head Jellyfish;1;;5;3;12;2;;7;;0;;1,2-5|pack,6-13|bloom;B3
deathtrap ooze;8;;5;5;8;50;;13;;0;;1;B3
deathweb;6;;5;5;11;;;0,13;;0;;1-2,3-8|nest;B3
deep sea serpent;19;;5;7;6;2;;7;;0;;1;B3
demilich;14;;8;2;11;;;0,13;;0;;1;B3
derhii|-;5;;5;5;7;;;4,6;3;0;;1-2,3-5|troop,8-48|tribe;B3
desert drake;8;;8;5;3;4;29;3;3;0;;1-2,3-12|rampage;B3
desert giant;9;;4;5;5;41;;3;3;0;;1,2-4|gang,5-8|band;B3
diatryma;1;;5;4;1;;;8;2;0;young [axe beak];1-2,3-6|flock;B3
dimetrodon;3;;5;5;1;;27,28;4;3;0;;1-2,3-12|pack;B3
dire corby;1;;8;4;7;;;13;;0;;1,2-5|gang;B3
disenchanter;3;;5;5;6;;;1;3;0;;1-2;B3
doru;2;;8;2;9;9,12,24;32;0,11,13;;19;;1;B3
dragonne;7;;5;5;6;;;3;2;0;;1-2,5-10|pride;B3
dread corby;2;;8;4;7;;;13;;0;advanced [dire corby];1-2;B3
dusk kamadan;5;;8;5;6;;;8;2,3;0;advanced kamadan;1-2,3-9|pack;B3
dybbuk;15;;8;4;11;45;;0,11,13;;0;;1;B3
ecorche;16;;9;5;11;;;0,13;;0;;1,2-4|gang;B3
elk;1;;5;4;1;;27,39;8;1,2;0;;1-2,3-50|herd;B3
eremite;20;;7;4;9;9,11,12,27;;0,11,13;;1;;1-2,3-5|cell;B3
faerie dragon;2;;3;2;3;;32;4;2,3;0;;1,2-8|clan;B3
faun;1;;3;4;4;;;4;2;0;;1-2,3-8|band;B3
festrog;1;;8;4;11;;;0,13;;0;;1-2,3-5|gang,6-11|pack;B3
fire yai|-;15;;8;5;9;6,13,29,41,50;;5,6;2,3;0;;1;B3
fjord linnorm;16;;9;7;3;2;41;2,6;1;0;;1;B3
flail snail;4;;5;5;6;;;13;;0;;1-2,3-30|rout;B3
flumph;1;;1;3;0;;;0,11,13;;0;;1-2,4-16|colony;B3
flying squirrel;-1;;5;2;1;;31;4;2;0;;1-2;B3
foo dog;2;;2;4;9;10,12;;0;;0,15;;1-2;B3
foo lion;4;;2;5;9;10,12;;0;;0,15;;1-2;B3
fossil golem;12;;5;6;2;;36;0,13;;0;;1,2-4|gang;B3
fossil golem shield guardian;14;;5;6;2;;36;0,13;;0;fossil golem;1-2;B3
fox;-2;;5;2;1;;31;0;;0;;1-2,3-12|skulk;B3
frumious bandersnatch;19;;5;7;6;;;4;;0;bandersnatch;1;B3
fuath;1;;9;2;4;2;37;1;;0;;1-2,3-12|mob;B3
fungus leshy;2;;5;3;10;50;40;12,13;;0;;1,2-16|cluster;B3
garden ooze;2;;5;3;8;;;4,12,14;2;0;;1-2,3-5|patch;B3
garuda;9;;3;4;9;13;;5,6;3;0;;1-2,3-6|aerie;B3
ghawwas;10;;8;5;9;2,9,12,24;;0,1,13;;19;;1;B3
ghorazagh;13;;8;5;0;;;13;;0;;1-2,3-9|colony;B3
ghost scorpion;0;;5;3;12;;;3,12;3;0;;1-2,3-6|nest;B3
ghul;5;;9;4;11;50;;3;3;0;;1,2-8|pack;B3
giant adult ant lion;6;;5;6;12;;;3;3;0;;1,2-12|cloud;B3
giant ant lion;5;;5;5;12;;;3;3;0;;1,2-4|nest;B3
giant chameleon;3;;5;5;1;;27;4,6;3;0;;1-2,3-6|blend;B3
giant crab spider;0;;5;3;12;;;4;2,3;0;;1-2,3-10|colony;B3
giant gecko;1;;5;4;1;;27;4,6;3;0;;1-2,3-6|nest;B3
giant owl;5;;4;6;6;;27;4;2;0;;1-2,3-10|roost;B3
giant porcupine;2;;5;4;1;;27;4,8;2;0;;1-2,3-6|prickle;B3
giant rot grub;3;;5;3;12;;;0,13;;0;;1-2,3-8|nest;B3
giant sea anemone;2;;5;5;12;2;;2,7;;0;;1,2-10|cluster;B3
giant skunk;3;;5;5;1;;27;4;2;0;;1-2;B3
giant vulture;4;;5;5;1;;27;5,8;3;0;;1-2,3-8|flock;B3
girtablilu;8;;5;5;7;;;3;3;0;;1-2;B3
globster;5;;5;5;8;2;;2,7;;0;;1-2,3-8|beaching;B3
goat;-1;;5;3;1;;31;0;;0;;1-2,3-12|herd;B3
goblin snake;1;;9;3;0;;;12,13;;0;;1-2;B3
gorynych;15;;9;6;3;;;4;2;0;;1;B3
gourd leshy;1;;5;3;10;50;40;5,8;;0;;1,2-16|patch;B3
graveknight;11;;7;4;11;;;0;;0;;1;B3
graven guardian;5;;5;4;2;;;0,13;;0;;1,2-4|band,5-12|assembly;B3
great cyclops|great cyclopes;12;;9;6;5;41;;0;2,3;0;;1,2-5|colony,6-14|tribe;B3
great horned owl;0;;5;3;1;;;4;2;0;;1-2;B3
great wyrm forest dragon;22;;9;8;3;4;22;4;;0;forest dragon\ancient forest dragon;1;B3
great wyrm forest dragon ravener;24;;11;8;3;4;;4;;0;great wyrm forest dragon\ancient forest dragon;1;B3
great wyrm sea dragon;20;;3;8;3;7;22;7;;0;sea dragon\ancient sea dragon;1;B3
great wyrm sky dragon;21;;1;8;3;1;22;6;2,3;0;sky dragon\ancient sky dragon;1;B3
great wyrm sovereign dragon;23;;5;8;3;;22;6;;0;sovereign dragon\ancient sovereign dragon;1;B3
great wyrm underworld dragon;19;;7;7;3;6;22;13;;0;underworld dragon\ancient underworld dragon;1;B3
great wyrm underworld dragon ravener;21;;7;7;11;6;;13;;0;great wyrm underworld dragon\ancient underworld dragon;1;B3
grodair;5;;6;4;6;2,12;;1,2;;0,4;;1;B3
grootslang;16;;9;7;6;;;9;3;0;;1;B3
guecubu;8;;9;4;11;4;;0,13;;0;;1;B3
harbinger archon;2;;1;2;9;10,11,12,17;32;0,11,13;;14;;1-2,3-12|constellation;B3
hekatonkheires titan\hekatonkheires;24;;9;8;9;8,9,12;18;0;;22;;1;B3
hellwasp swarm;8;;7;1;12;12,52;;0,11;;20;;1-2,3-6|infestation;B3
hieracosphinx;5;;9;5;6;;46;5;3;0;;1-2,3-8|flock;B3
hodag;6;;5;5;6;;;4,12;2;0;;1;B3
hollow serpent;16;;8;5;11;;;0,13;;0;;1-2,3-8|nest;B3
huecuva;2;;9;4;11;;;0,13;;0;;1-2,3-10|cloister;B3
humbaba;19;;6;8;7;;;4;;0;;1;B3
hungry fog;6;;5;6;8;;;0,13;2;0;;1-2,3-10|bank;B3
ice yai|-;14;;9;5;9;3,13,29,41,50;;6;1;0;;1;B3
iguanodon;6;;5;6;1;;27,28;4,12;3;0;;1-2,3-6|pack;B3
iku-turso;8;;8;4;0;2;;1,13;1,2;0;;1-2,3-8|cell;B3
incubus|incubi;6;;9;4;9;8,9,12,22;;0,11,13;;18;;1,2-8|wing;B3
interlocutor;12;;7;5;9;9,11,12,27;;0,13;;1;;1-2,3-5|gang;B3
jackalwere;2;;9;4;6;50;;3;3;0;;1-2;B3
jiang-shi;6;;7;4;11;;49;0,13;;0;;1,2-8|broderhood;B3
jinushigami;20;;5;7;9;4,12,26;;0,13;;0;;1;B3
